hhnum,pnum,order,name_flag,match_flag,nodata_flag,startmon,startdate_flag,day1,day2,day3,day4,day5,day6,day7,days_flag,brkfst1,brkfst2,brkfst3,brkfst4,brkfst5,brkfst6,brkfst7,lunch1,lunch2,lunch3,lunch4,lunch5,lunch6,lunch7,dinner1,dinner2,dinner3,dinner4,dinner5,dinner6,dinner7,snackam1,snackam2,snackam3,snackam4,snackam5,snackam6,snackam7,snackpm1,snackpm2,snackpm3,snackpm4,snackpm5,snackpm6,snackpm7
102418,4,4,0,0,0,6,0,4,5,6,7,1,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
102419,1,1,0,0,0,8,0,6,7,1,2,3,4,5,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1
102420,1,1,0,0,0,11,0,6,7,1,2,3,4,5,1,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,
102420,2,,3,5,2,11,0,6,7,1,2,3,4,5,1,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993
102422,1,1,0,4,0,5,0,7,1,2,3,4,5,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102422,2,2,0,4,0,5,0,7,1,2,3,4,5,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102429,1,1,0,0,0,6,0,5,6,7,1,2,3,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0
102429,2,2,0,0,0,6,0,5,6,7,1,2,3,4,0,1,1,1,1,,,,1,1,1,1,,,,1,1,1,0,,,,1,1,0,0,,,,1,1,0,0,,,
102430,1,1,0,0,0,9,0,1,2,3,4,5,6,7,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1
102430,2,2,0,3,0,9,0,1,2,3,4,5,6,7,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1
102431,1,1,0,0,0,8,0,6,7,1,2,3,4,5,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102431,2,2,0,0,0,8,0,6,7,1,2,3,4,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102431,3,3,0,0,0,8,0,6,7,1,2,3,4,5,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102431,4,4,0,0,0,8,0,6,7,1,2,3,4,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102431,5,5,0,0,0,8,0,6,7,1,2,3,4,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102434,1,1,0,4,0,9,0,6,7,1,2,3,4,5,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102434,2,2,0,4,0,9,0,6,7,1,2,3,4,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102436,1,1,0,0,1,6,0,3,4,5,6,7,1,2,0,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993
102436,2,2,0,0,1,6,0,3,4,5,6,7,1,2,0,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993
102436,3,3,0,0,1,6,0,3,4,5,6,7,1,2,0,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993,-993
102442,1,1,0,0,0,6,0,7,1,2,3,4,5,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102442,2,2,0,4,0,6,0,7,1,2,3,4,5,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102442,3,3,0,4,0,6,0,7,1,2,3,4,5,6,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1
102445,1,1,0,0,0,5,0,1,2,3,4,5,6,7,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
102451,1,1,0,0,0,10,0,5,6,7,1,2,3,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102451,2,3,0,0,0,10,0,5,6,7,1,2,3,4,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102451,3,2,0,0,0,10,0,5,6,7,1,2,3,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102451,4,4,0,0,0,10,0,5,6,7,1,2,3,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102451,5,5,0,0,0,10,0,5,6,7,1,2,3,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102454,1,1,0,0,0,8,0,7,1,2,3,4,5,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
102454,2,2,0,4,0,8,0,7,1,2,3,4,5,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102454,3,4,0,0,0,8,0,7,1,2,3,4,5,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102454,4,3,0,0,0,8,0,7,1,2,3,4,5,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
