hhnum,snapnowhh,inchhavg_r,hhsize,hh_expenses,med_expenses,sum_snap_dist,fah_paid,fafh_paid,totalpaid
101104,0,2503.2,2,175.83,126.5,32.39,11.85,3.54,15.4
101105,0,1600.0,1,810.0,26.0,40.64,25.86,48.78,74.64
101112,1,1562.162,4,179.5,1.5,9.600000000000001,50.65,0.0,50.65
101113,0,2800.0,1,773.0,166.0,33.81,28.95,7.16,36.11
101115,1,250.638512029,1,51.42,0.0,13.629999999999999,7.43,3.58,11.01
101125,0,2089.67342649297,2,300.0,50.0,14.48,68.8,16.04,84.83
101134,0,2000.0,1,898.0,142.33,2.64,114.96,85.07,200.03
101137,0,1540.0,1,375.0,0.0,9.83,46.95,17.76,64.71
101141,0,2639.0,5,253.0,17.33,10.95,2.07,6.8,8.87
101151,1,1805.0,6,159.83,33.33,2.85,44.33,12.61,56.94
101175,0,3778.0,3,100.44,96.0,12.51,19.12,14.78,33.9
101176,1,2371.662,2,423.5,0.0,11.33,129.96,42.48,172.43
101180,0,3943.338,4,301.5,132.5,10.93,32.3,10.46,42.76
101187,0,3055.3094959363,7,185.71,0.0,6.5600000000000005,17.3,0.0,17.3
101193,1,698.0,1,137.0,4.0,6.359999999999999,39.82,82.23,122.05
101195,1,878.0,2,10.0,144.0,11.620000000000001,5.34,10.43,15.77
101196,0,2800.0,4,283.25,156.25,6.6,49.2,5.24,54.44
101203,1,3412.262,7,91.43,0.0,4.87,5.51,0.55,6.06
101204,0,5450.0,1,523.0,127.0,16.249999999999996,72.37,0.95,73.32
101218,1,2620.0,4,127.5,137.5,7.09,32.12,1.7,33.83
101219,1,112.0,5,132.0,0.0,6.57,13.22,2.2,15.41
101227,0,7586.67,3,241.33,114.33,4.57,39.53,6.41,45.94
101236,0,5339.0,2,247.5,231.5,14.57,47.16,4.22,51.38
101242,0,1820.0,3,191.67,0.0,3.2700000000000005,27.91,0.51,28.42
101244,0,6546.324,10,57.12,0.4,44.01,17.34,15.51,32.85
101253,0,4000.0,10,74.4,82.0,7.5200000000000005,34.13,11.71,45.84
101267,0,1960.0,1,884.0,0.0,8.14,86.24,66.97,153.21
101268,0,9839.99999999999,4,417.25,98.12,30.169999999999998,84.63,130.3,214.93
101269,1,1931.02888320014,4,252.47,0.0,3.72,12.8,6.32,19.11
101271,0,430.0,1,25.0,0.0,9.48,75.98,7.98,83.96
101291,0,6020.0,4,422.5,0.0,3.31,44.18,12.54,56.71
101301,0,9800.0,4,362.5,101.56,9.67,24.88,1.48,26.36
101308,1,3706.0,3,355.33,80.0,6.0600000000000005,48.72,63.78,112.49
101316,0,11900.0,2,1087.5,95.0,13.99,45.55,16.18,61.73
101322,0,1219.0,1,289.25,143.0,20.759999999999998,13.07,21.48,34.55
101323,0,5970.0,14,153.57,0.0,6.71,18.72,6.61,25.33
101326,0,5100.0,2,494.5,50.0,14.85,62.54,99.78,162.32
101339,1,718.0,1,225.0,35.0,17.34,36.66,60.0,96.66
101341,0,2240.0,1,600.0,0.0,17.07,63.88,54.95,118.83
101346,0,10000.0,4,447.5,31.36,8.83,32.01,23.16,55.17
101347,1,718.0,4,126.25,88.0,10.69,18.77,26.47,45.24
101354,1,1309.43816572428,4,476.0,139.75,2.91,7.5,13.41,20.91
101359,0,3013.0,2,320.0,170.0,9.16,54.94,25.29,80.23
