"eventid","hhnum","whogotpnum","athome","date","date_flag","startmon","daynum","daynum_flag","placeid","placecateg","placecateg_ers","placetype","placeedit_type","placeedit_spaces","placeedit_case","placeedit_name","placeclean_flag","placedist_s","placedist_d","placetime_d","placedist_w","placetime_w","placesnap","placesnap_flag","placesnaptype","free","free_flag","totalpaid","totalpaid_flag","receiptreportedbp","receiptreportedph","receiptobserved","couponsreported","couponsobserved","loyaltycard","storesavings","couponsgeneral","paytypenum","cash","check","creditcard","debitcard","ebt_snap","ebt_snapamt","snapamt_flag","ebt_tanf","ebt_tanfamt","ebt_unk","ebt_unkamt","wic","wicamt","wicamt_flag","giftcard","paytype_flag","itemstot","itemsscanned","itemsbook","itemsblue","itemsreceipt","nummissprices","iteminfotype","reportmethod","booktype","bookpnum","startdate_flag","scandate_flag","abletoscanbp","abletoscanph","practice_flag","manualmatch_flag","moved_flag","multplaces_flag"
11853,115337,1,1,6/1/2012,0,5,7,0,1136172,1,,106,,,,,3,6.78654538243191,11.108,16.48,-996,-996,1,0,"CO",0,0,4,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,4,0,0,0,4,,1,6,"Primary",1,0,0,1,0,0,0,0,0
11854,115337,1,1,6/1/2012,0,5,7,0,3000418,1,,106,,,,,4,7.82997209290036,13.604,20,-996,-996,0,0,".V",0,0,1.09,0,0,0,0,0,,0,,,1,0,0,0,1,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,1,1,0,0,0,,2,5,"Primary",1,0,0,2,0,0,0,0,0
50767,115338,2,1,11/9/2012,0,11,1,0,1170431,1,,122,,,,,3,1.82482803410584,2.792,8.48,-996,-996,1,0,"SM",0,0,5.54,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,5,3,1,0,1,,1,6,"Adult",2,0,0,1,0,0,0,0,0
50770,115338,3,1,11/9/2012,0,11,1,0,1055731,1,,119,,,,,3,1.48430847477576,1.65,4.63,-996,-996,1,0,"CO",0,0,48.69,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,7,5,0,0,2,,1,6,"Adult",3,0,0,1,0,0,0,0,0
51599,115338,1,1,11/13/2012,0,11,5,0,1009016,1,,121,,,,,3,4.94629978032322,6.272,14.27,-996,-996,1,0,"SS",0,1,104.65,0,,1,1,1,0,,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,6,16,16,0,0,0,,1,6,"Primary",1,0,0,1,0,0,0,0,0
51603,115338,2,1,11/10/2012,0,11,2,0,1131834,1,,106,,,,,3,1.97461962908243,2.265,7.6,-996,-996,1,0,"CO",0,0,5.4,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,2,2,0,0,0,,1,6,"Adult",2,0,0,,0,0,0,0,0
51604,115338,3,1,11/10/2012,0,11,2,0,1024818,1,,121,,,,,3,1.8061226114012,2.748,8.4,-996,-996,1,0,"SS",0,0,45.57,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,16,11,1,0,4,,1,6,"Adult",3,0,0,1,0,0,0,0,0
52434,115338,2,1,11/14/2012,0,11,6,0,1170431,1,,122,,,,,3,1.82482803410584,2.792,8.48,-996,-996,1,0,"SM",0,0,4.55,0,0,0,0,0,,0,,,1,0,0,0,1,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,3,2,0,1,0,,2,5,"Adult",2,0,0,,0,0,0,0,0
52437,115338,2,1,11/13/2012,0,11,5,0,1167171,1,,121,,,,,3,1.95869004448583,3.246,8.02,-996,-996,1,0,"SS",0,0,8.25,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,3,2,0,1,0,,1,6,"Adult",2,0,0,2,0,0,0,0,0
17351,115340,1,1,6/26/2012,0,6,1,0,1036504,1,,122,,,,,3,23.1628633374536,26.081,42.03,-996,-996,1,0,"SM",0,0,18.79,0,1,1,1,1,1,1,1,16.29,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,16,16,0,0,0,,1,6,"Primary",1,0,0,,0,0,0,0,0
17352,115340,1,1,6/26/2012,0,6,1,0,1080923,1,,122,,,,,3,31.5925933357691,36.207,61.37,-996,-996,1,0,"SM",0,0,20.92,0,1,1,1,1,1,1,1,25.1,1,0,0,0,1,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,13,13,0,0,0,,1,6,"Primary",1,0,1,1,0,0,0,0,0
17357,115340,1,1,6/27/2012,0,6,2,0,1033360,1,,122,,,,,3,27.7952360757672,34.371,56.1,-996,-996,1,0,"SM",0,0,4.07,0,1,1,1,0,0,1,1,0,2,1,0,0,1,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,1,1,0,0,0,,1,6,"Primary",1,0,0,1,0,0,0,0,0
17369,115340,1,1,6/30/2012,0,6,5,0,1036504,1,,122,,,,,3,23.1628633374536,26.081,42.03,-996,-996,1,0,"SM",0,0,21.17,0,1,1,1,1,1,1,1,14.07,1,0,0,0,1,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,14,12,0,2,0,,1,6,"Primary",1,0,0,2,0,0,0,0,0
17383,115340,2,1,6/27/2012,0,6,2,0,1026574,1,,106,,,,,3,1.82789290039058,1.979,5.37,-996,-996,1,0,"CO",,0,,0,,1,0,,,,,,,,,,,,-996,-996,,-996,,-996,,-996,-996,,0,,,,,,,3,3,"Adult",2,0,0,,0,0,0,0,0
17637,115340,3,1,6/29/2012,0,6,4,0,1029907,1,,121,,,,,3,15.3511636900709,17.65,27.98,-996,-996,1,0,"SS",0,3,31.62,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,-996,-996,0,-996,0,-996,0,-996,-996,0,6,1,1,0,0,0,,1,6,"Adult",3,0,0,1,0,0,0,0,0
50083,115341,1,1,11/1/2012,0,10,5,0,1001813,1,,111,,,,,3,0.178637501433732,0.219,1.07,0.219,4.18,1,0,"LG",0,0,20.48,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,3,2,0,0,1,,1,6,"Primary",1,0,0,1,0,0,0,0,0
50084,115341,1,1,11/3/2012,0,10,7,0,1001813,1,,111,,,,,3,0.178637501433732,0.219,1.07,0.219,4.18,1,0,"LG",0,0,15.86,0,,1,1,0,0,0,1,0,1,0,1,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,7,7,0,0,0,,1,6,"Primary",1,0,0,1,0,0,0,0,0
70852,115341,1,1,10/28/2012,0,10,1,0,1001813,1,,111,,,,,3,0.178637501433732,0.219,1.07,0.219,4.18,1,0,"LG",0,0,5.48,0,1,-996,1,,0,,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,6,3,1,0,0,2,,1,2,"Primary",1,0,0,2,-996,0,0,0,0
43736,115342,1,1,10/8/2012,0,10,1,0,1160915,1,,121,,,,,3,4.46097052350668,6.532,13.48,-996,-996,1,0,"SS",0,0,15.2,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,7,4,3,0,0,,1,6,"Primary",1,0,0,1,0,0,0,0,0
44571,115342,1,1,10/12/2012,0,10,5,0,1160915,1,,121,,,,,3,4.46097052350668,6.532,13.48,-996,-996,1,0,"SS",0,0,41.92,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,11,4,7,0,0,,1,6,"Primary",1,0,0,1,0,0,0,0,0
44572,115342,1,1,10/12/2012,0,10,5,0,1117731,1,,113,,,,,3,2.00714952411605,2.332,8,-996,-996,1,0,"SG",0,0,32.81,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,15,3,6,0,6,,1,6,"Primary",1,0,0,1,0,0,0,0,0
23066,115348,1,1,7/27/2012,0,7,5,0,1152138,1,,121,,,,,4,9.05410239114689,12.139,17.02,-996,-996,1,0,"SS",0,0,20.72,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,10,9,0,0,1,,1,6,"Primary",1,0,0,1,0,0,0,0,0
23067,115348,1,1,7/26/2012,0,7,4,0,1025705,1,,122,,,,,3,2.85523014446605,3.665,7.05,-996,-996,1,0,"SM",0,0,12.03,0,1,1,1,,1,1,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,4,3,0,0,1,,1,6,"Primary",1,0,0,1,0,0,0,0,0
23069,115348,1,1,7/26/2012,0,7,4,0,1025705,1,,122,,,,,3,2.85523014446605,3.665,7.05,-996,-996,1,0,"SM",0,0,1.88,0,1,1,1,,0,1,0,0,1,1,0,0,0,0,-996,-996,0,-996,0,-996,0,-996,-996,0,0,1,0,1,0,0,,1,6,"Primary",1,0,1,1,0,0,0,0,0
