"hhnum","infousa_flag","snap1","snap2","snap3","snap4","snap5","snap6","snap7","snap8","ss1","ss2","ss3","ss4","ss5","ss6","ss7","ss8","sm1","sm2","sm3","sm4","sm5","sm6","sm7","sm8","co1","co2","co3","co4","co5","co6","co7","co8","cs1","cs2","cs3","cs4","cs5","cs6","cs7","cs8","mlg1","mlg2","mlg3","mlg4","mlg5","mlg6","mlg7","mlg8","dist_ss","dist_sm","dist_co","dist_cs","dist_mlg","dist_walmart","nearsnap_placeid","nearsnap_stype","nearsnap_dist","nearsmss_placeid","nearsmss_stype","nearsmss_dist","ff1","ff2","ff3","ff4","ff5","ff6","ff7","ff8","nonff1","nonff2","nonff3","nonff4","nonff5","nonff6","nonff7","nonff8","nearff_sic1","nearff_sic2","nearff_dist","nearnonff_sic1","nearnonff_sic2","nearnonff_dist","nearmcd_sic1","nearmcd_sic2","nearmcd_dist"
117981,1,0,0,4,13,39,122,421,1231,0,0,2,4,4,10,33,117,0,0,1,2,7,17,46,174,0,0,0,2,7,29,96,310,0,0,1,2,13,47,153,387,0,0,0,1,2,4,24,65,0.91,0.85,1.73,0.91,1.81,1.61,1021414,"SM",0.85,1021414,"SM",0.85,0,0,1,8,14,18,21,98,0,1,7,25,74,116,186,674,581208,581206,0.91,581209,581209,0.37,581208,581206,1.76095955125009
117984,1,0,3,10,29,80,212,295,1294,0,2,2,4,8,30,40,121,0,0,1,3,10,20,29,87,0,1,3,10,25,71,105,347,0,0,2,9,26,66,86,483,0,0,1,2,6,13,16,74,0.33,0.99,0.38,0.94,0.9,3.36,1014031,"SS",0.33,1014031,"SS",0.33,0,2,11,27,55,124,125,130,0,1,20,53,112,311,325,337,581208,581208,0.3,581208,581208,0.49,581208,581206,0.954837631677135
117987,1,0,0,1,1,31,148,450,6820,0,0,0,0,4,17,47,461,0,0,0,0,8,25,79,437,0,0,1,1,9,33,111,1019,0,0,0,0,2,23,75,1185,0,0,0,0,3,22,56,1272,2.45,2.03,0.63,2.05,4.05,8.88,,"CO",0.63,1167641,"SM",2.03,0,0,1,2,20,75,145,197,0,0,13,43,257,807,1619,2370,546105,581228,0.63,581222,581208,0.59,581208,581206,2.59436320387686
117988,1,0,0,1,9,93,179,235,505,0,0,1,1,11,20,28,47,0,0,0,1,5,8,12,18,0,0,0,3,22,43,62,122,0,0,0,4,37,82,98,247,0,0,0,0,4,8,8,26,0.61,1.33,1.28,1.28,2.49,2.14,1166060,"SS",0.61,1166060,"SS",0.61,0,0,1,11,73,116,131,137,1,5,12,38,226,367,430,477,581208,581206,0.66,581208,581208,0.06,581208,581206,1.26872463155414
117989,1,1,1,9,17,177,1504,4016,14372,0,0,1,1,15,74,212,773,0,0,4,7,27,93,217,815,1,1,4,5,38,188,474,1925,0,0,0,2,34,284,672,2714,0,0,0,2,29,283,864,2440,0.76,0.75,0.25,1.21,1.18,4.24,,"CO",0.25,1150885,"SM",0.75,0,1,8,17,85,147,160,197,6,23,59,121,949,1842,2027,2370,546105,581228,0.43,581208,581208,0.14,581208,581206,0.843212834741888
117990,1,2,5,9,36,142,192,221,493,0,0,1,5,15,22,25,47,0,0,0,1,7,9,11,18,0,2,3,9,34,47,56,120,1,1,3,12,64,85,95,239,1,1,1,3,7,8,9,25,0.57,1.97,0.26,0.22,0.23,3.72,,"CS",0.22,1072696,"SS",0.57,0,2,9,27,92,118,122,137,1,6,17,63,301,377,412,473,581208,581206,0.39,581222,581206,0.23,581208,581206,0.581340028418716
117992,2,2,2,3,21,226,612,1088,4491,0,0,0,2,31,86,137,395,0,0,0,5,36,98,178,463,0,0,0,4,46,126,237,760,2,2,3,9,81,215,398,1975,0,0,0,0,20,46,73,386,1.52,1.31,1.08,0.19,2.03,4.45,1027943,"CS",0.19,1017638,"SM",1.31,3,4,12,63,254,687,1016,1057,20,36,89,322,1121,2923,4106,4238,581208,581206,0.19,581222,581208,0.03,581208,581206,0.322105718960439
117996,1,0,2,6,12,12,16,16,38,0,0,1,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,8,0,0,1,5,5,6,6,9,0,0,0,0,0,1,1,10,0.88,31.66,0.69,0.85,7.09,0.88,,"SG",0.43,1061674,"SS",0.88,1,5,9,12,12,12,12,17,3,12,41,55,55,59,62,82,581208,581206,0.19,541103,581222,0.18,581208,581206,0.320876881678258
118001,1,2,2,7,18,86,96,99,108,0,0,1,2,15,17,17,17,0,0,0,0,1,1,1,1,1,1,2,2,18,21,21,21,1,1,3,10,27,31,34,37,0,0,0,2,4,4,4,8,0.63,3.95,0.15,0.11,1.76,3.52,1103340,"CS",0.11,1005837,"SS",0.63,6,8,9,17,71,89,89,90,6,7,12,49,186,219,220,231,581208,581206,0.06,581208,581208,0.1,581208,581206,0.0649369828100101
118005,1,0,0,15,45,228,730,1197,2587,0,0,2,4,13,37,76,160,0,0,2,6,31,99,164,289,0,0,3,13,64,196,322,614,0,0,4,14,83,274,448,913,0,0,2,5,21,62,91,253,0.56,0.6,0.54,0.54,0.62,0.56,,"CS",0.54,1017396,"SS",0.56,0,0,14,38,170,530,725,736,0,0,40,137,554,1965,2873,2949,581208,581206,0.51,581208,581208,0.5,581208,581206,0.860862073688928
